,DOY,green relative Year2015.C84,green relative Year2014
232,322,0.335212105,0.332928669
233,323,0.33389843,0.335928773
234,324,0.335515947,0.33643549
235,325,0.334646407,0.333513678
236,326,0.336249801,NA
237,327,0.332255681,0.334646165
238,328,0.335076815,0.332593812
239,329,0.330996053,NA
240,330,0.332550786,0.331245746
241,331,0.334704693,0.338171662
242,332,0.332155574,NA
243,333,0.332786126,0.338193803
244,334,0.335471127,NA
245,335,0.332209281,0.334102621
246,336,0.331423754,0.336959029
247,337,0.333781842,NA
248,338,0.332253352,NA
249,339,0.333809161,NA
250,340,0.334033292,0.333150227
251,341,0.330833621,0.336781357
252,342,0.331775599,NA
253,343,0.335174611,NA
254,344,0.336383564,0.334649552
255,345,0.332902907,0.337565641
256,346,0.334061076,0.334871394
257,347,0.333875911,0.335206096
258,348,0.33130943,0.334834339
259,349,0.333355565,0.329833333
260,350,0.334002003,0.334165359
261,351,0.334858531,NA
262,352,0.333724399,0.33645758
263,353,0.335752297,NA
264,354,0.331682234,NA
265,355,0.330660347,0.33707607
266,356,0.333777082,0.333051344
267,357,0.334720371,0.334905962
268,358,0.33280478,0.334560538
269,359,0.334385755,0.331973763
270,360,0.332545506,NA
271,361,0.332212076,0.335124256
272,362,0.332530474,NA
273,363,0.332427938,0.336471104
274,364,0.334469408,0.333267237
275,365,0.332820201,NA
