,DOY,green relative Year2015.55,green relative Year2012,green relative Year2014
330,330,0.315319311,NA,0.305274833
331,331,0.313810964,0.38209035,NA
332,332,0.320300727,NA,NA
333,333,0.316426855,0.370508848,NA
334,334,0.312158075,0.361976546,NA
335,335,0.321458436,0.355227303,NA
336,336,0.314042752,0.343532539,0.316539585
337,337,0.314123045,0.36921454,0.297110726
338,338,0.320144097,0.374684837,0.299246472
339,339,0.319761343,0.359387505,0.315846195
340,340,0.31045225,NA,0.299067282
341,341,0.318748205,0.357724494,0.299269664
342,342,0.314332421,0.35587435,0.289353803
343,343,0.322318663,NA,0.283979613
344,344,0.315550088,NA,0.292118035
345,345,0.313796227,0.371686139,0.282499825
346,346,0.314051583,0.368340347,0.27805192
347,347,0.309818533,0.373958439,0.28703235
348,348,0.312778035,0.355284057,0.3204532
349,349,0.314832316,0.369701771,0.299497246
350,350,0.31330766,0.378135792,0.29130482
351,351,0.304719962,0.363766821,0.307376946
352,352,0.311689811,0.369882994,0.289258661
353,353,0.312296125,0.354923092,0.291951799
354,354,0.317564032,NA,0.293251086
355,355,0.32058965,NA,0.286150417
356,356,0.318612288,0.371837798,0.304891469
357,357,0.319313889,0.378374465,0.263953229
358,358,0.316258235,0.379162149,0.276465689
359,359,0.315151124,0.352588946,0.30739746
360,360,0.314321789,0.35146004,0.305740926
361,361,0.312879449,NA,0.291982494
362,362,0.313291264,NA,0.313237425
363,363,0.311474035,NA,0.295687936
364,364,0.313638477,NA,0.276629776
365,365,0.311989243,NA,0.277158311
